Device Name,IP Address,Site,Manufacturer,Model,IOS Version,Region
F07058-T35-HSL25A,134.248.222.81,F07058,Cisco,Cisco Nexus 5548,7.3(3)N1(1),APAC
F07058-T35-MS23,134.248.222.110,F07058,Cisco,Cisco Catalyst 2960X-24TS-LL Switch,15.2(4)E5,APAC
F07058-T35-MS38,134.248.222.87,F07058,Cisco,Cisco Catalyst 36xx stack-able ethernet switch,16.9.4,APAC
F07058-T35-PL29A,134.248.222.77,F07058,Cisco,Cisco Nexus 5548,7.3(3)N1(1),APAC
F07058-T43-HSL26A,134.248.222.32,F07058,Cisco,Cisco Nexus 5596 UP,7.3(3)N1(1),APAC
F07058-T43-MS38,134.248.222.27,F07058,Cisco,Cisco Catalyst 36xx stack-able ethernet switch,16.9.4,APAC
F07058-T43-PL24A,134.248.222.13,F07058,Cisco,Cisco Nexus 5548,7.3(3)N1(1),APAC
F07058-T43-PL28A,134.248.222.30,F07058,Cisco,Cisco Nexus 5596 UP,7.3(3)N1(1),APAC
F07058-T51-MR28,134.248.241.253,F07058,Cisco,Cisco Catalyst 4500 L3,03.06.04.E RELEASE SOFTWARE (fc2),APAC
F07058-T51-MS19,134.248.222.83,F07058,Cisco,Catalyst 3560X-24U-S,15.2(4)E5,APAC
F07058-T51-MS20,134.248.222.63,F07058,Cisco,Cisco Catalyst 2960X-24TS-LL Switch,15.2(4)E5,APAC
F07058-T51-SL29,134.248.222.44,F07058,Cisco,Catalyst 37xx Stack,15.2(4)E5,APAC
F07170BCCE1,144.5.36.107,F07170,Cisco,Cisco 4321 ISR,16.6.3,APAC
F07170RL1,146.40.86.137,F07170,Cisco,Cisco 2911K9,15.5(3)M6a,APAC
F07170SL1,146.40.86.98,F07170,Cisco,Catalyst 3560X 24,15.2(4)E5,APAC
F07245CE1,146.40.139.248,F07245,Cisco,Cisco 4431 ISR,17.3.5,APAC
F07245GA1,146.40.139.3,F07245,Cisco,Cisco Voice Gateway 204XM,15.6(3)M,APAC
F07245SL1,146.40.139.2,F07245,Cisco,Cisco Catalyst 38xx stack,16.12.7,APAC
F07245SL2,146.40.139.6,F07245,Cisco,Cisco Catalyst 38xx stack,16.12.7,APAC
F07245WC01,146.40.139.10,F07245,Cisco,Cisco 5500 Series Wireless Controller,None,APAC
F07246RA1,144.5.82.160,F07246,Cisco,Cisco 4331 ISR,16.9.6,APAC
F07246RA2,144.5.82.161,F07246,Cisco,Cisco 4331 ISR,16.12.4,APAC
F07925CE1,146.40.138.248,F07925,Cisco,Cisco 3925SPE200,15.5(3)M6a,APAC
F07925GA1,146.40.138.7,F07925,Cisco,Cisco Voice Gateway 204XM,15.6(3)M,APAC
F07925RL1,146.40.138.18,F07925,Cisco,Cisco 4431 ISR,16.12.4,APAC
F07925SL1,146.40.138.4,F07925,Cisco,Cisco Catalyst 38xx stack,16.12.7,APAC
F08057RA1,146.40.91.177,"F08057: Facility-Code F08057, Karachi, Pakistan",Cisco,Cisco 1941K9,15.5(3)M6a,APAC
F08057SL1,146.40.91.180,F08057,Cisco,Cisco Catalyst 29xxStack,15.0(2)SE11,APAC
F08628RE1,144.5.196.227,F08628,Cisco,Cisco 4331 ISR,16.3.5,APAC
F08628SL1,144.5.246.2,F08628,Cisco,Cisco Catalyst 9300 Series Switch,17.3.4,APAC
F08664RE1,144.5.180.249,F08664,Cisco,Cisco 4331 ISR,17.6.3a,APAC
F08664SL1,144.5.178.2,F08664,Cisco,Cisco Catalyst 9300 Series Switch,16.6.3,APAC
F08664SL2,144.5.178.3,F08664,Cisco,Cisco Catalyst 9300 Series Switch,16.6.3,APAC
